ratio,cent_y,cent_x,eccentricity,solidity,skew_x,skew_y,kurt_x,kurt_y,output
0.2304075235109718,0.5440115440115441,0.3813237938853702,0.9571617714603741,0.3751595065929392,0.4205279555468766,-0.2561846640808091,-0.4620630018518317,-0.333228363169773,1
0.20064102564102565,0.5676797465934846,0.3774405395811147,0.9574093546704079,0.3424507658643326,0.574922658300791,-0.46394472073645554,-0.318935305868536,-0.021485512143481156,1
0.167998667998668,0.5481381849072632,0.38031146257112564,0.9715353107331222,0.3670425609312477,0.8655979569279219,-0.07695850825801939,0.25456587998650715,0.06911719663238891,1
0.19611986169804072,0.5612660446414764,0.38826254495020623,0.9559917729434926,0.3246422893481717,0.6458156251751147,-0.2684336824987042,-0.11589551446340174,-0.5530945071873621,1
0.18600746268656718,0.5960381143430291,0.36644261141633855,0.9597430437815244,0.31293157564344004,0.6869226544631829,-0.23182183160688882,-0.06390125164297,-0.4767549814111862,1
0.18669950738916255,0.5709899008279501,0.5312759140595552,0.9446588415395072,0.2405967306776702,-0.12499421510248605,-0.26451307427508225,-1.1357234155487674,-0.4763653733710944,0
0.1876213315062236,0.4769247118608044,0.502449896443162,0.944419262568197,0.23953929144190114,-0.10546493696551168,0.2657078784593252,-1.0618028196824307,-0.2634149543362363,0
0.1612789051439358,0.5887822857464408,0.4156295860803066,0.9652346457334398,0.23363527602119297,0.049010264022350265,-0.04165544048365799,-0.8733308312886687,-0.3996534081895895,0
0.13696465696465696,0.5702302554761571,0.3972300169021481,0.9624223195967504,0.22961104140526975,0.19537727848661468,0.04093793581451192,-0.6839542517790935,-0.4557878411571652,0
0.17271993543179984,0.49428164105813405,0.5008010680907877,0.9658565845835614,0.3373266078184111,-0.09224892404748311,0.22840381560191286,-1.0610049263900367,-0.3498204688746136,0
